name,lat,lon
가온,37.5226374252,127.0360593358
갈리나 데이지,37.5798707677,126.9709547615
개성만두 궁,37.5742692547,126.9854105474
고려 삼계탕,37.5629973956,126.972912619
고봉 삼계탕,37.5647329166,126.9838594761
곰바위,37.5148904713,127.0588137579
곳간,37.5221796952,126.919917909
구복만두,37.5450459894,126.9732404832
권숙수,37.5267820835,127.0359029487
그라노,37.5261552766,127.0349342633
꽃지,37.5142222987,127.0616183879
남포면옥,37.5671472673,126.9816766316
능라도,37.5073989732,127.0382099675
다담,37.52433553,127.0447889813
다이닝 인 스페이스,37.5777618426,126.9884166471
달 식탁,37.5190581479,127.0237820075
대가방,37.5211553895,127.0385518213
대성집,37.5727320006,126.960932586
도림,37.5653451695,126.9810069981
도사,37.5244906545,127.0443863435
도우룸,37.4938358149,126.9933463536
두가헌,37.5773065853,126.9798220852
두레,37.5733611956,126.9866242334
라미띠에,37.5226564776,127.0325027326
라연,37.5575907792,127.0057131548
랩 24,37.5247187201,127.0416035565
레스쁘아 뒤 이부,37.5245562922,127.0423003266
루이 쌍끄,37.5262951874,127.037052109
류니끄,37.5207019981,127.0215925094
르 꽁뜨와,37.5234338685,127.0361999941
리스토란테 에오,37.5251929286,127.0457171405
마누 테라스,37.5247797082,127.0423909543
만두집,37.5279236125,127.0388765984
만족 오향 족발,37.5632575533,126.9760137984
메종 드 라 카테고리,37.5255661432,127.0402148128
명동 교자,37.5625743734,126.985756908
목멱산방,37.5524004864,126.9872888859
목천집 (앵콜칼국수),37.4813004177,127.0134090859
몽중헌,37.5270308634,127.0459988255
무궁화,37.5653451695,126.9810069981
미 피아체,37.5245048462,127.0449791352
민스 키친,37.5231599748,127.0361636619
밍글스,37.5222256305,127.0390093895
발우공양,37.5739373929,126.9831873379
백년 토종 삼계탕,37.580601354,126.9847119295
백년옥,37.4811958585,127.0137753857
백리향,37.5198346185,126.9400737903
뱀부 하우스,37.5070498821,127.0366354341
버드나무 집,37.4891069986,127.0312036792
보나세라,37.5236610862,127.0356571023
보름쇠,37.5093161232,127.0566332696
보칼리노,37.5706996528,126.9754001512
보트르 메종,37.5261552766,127.0349342633
볼트 스테이크하우스,37.5250058051,127.0449749109
봉피양,37.5100119079,127.1262112733
부띠끄 블루밍,37.5252512905,127.0327708397
부산식당,37.5738978618,126.9839978679
부아,37.5338656268,126.9934514141
부촌육회,37.5703814615,126.9999230268
북막골,37.5865223037,126.982025131
비스트로 드 욘트빌,37.5260739572,127.0412332461
비스트로 차우기,37.5757941656,126.9894267329
비채나,37.5384969459,127.0011314774
삼원가든,37.5252512905,127.0327708397
삼청동 수제비,37.5846085793,126.9819259598
새벽집,37.5255647614,127.052867069
서촌김씨,37.5814458196,126.9714251144
석파랑,37.5992564891,126.9587490491
수마린,37.5353682499,127.0100516249
수불,37.4952703917,126.9982042501
스미스가 좋아하는 한옥,37.5780274237,126.9800754756
스바루,37.4955077827,126.9892571295
스시  선수,37.5228751676,127.0364576472
스시 초희,37.5237655078,127.0359693784
스시만,37.4941566463,126.9947982827
스시조,37.5644836818,126.9801832153
스시효,37.5220408549,127.0418464149
스와니예,37.4981391934,127.0020084218
시화담,37.5406700506,126.9948357875
아 따블르,37.5831092011,126.9811247585
아리랑,37.5638854872,126.9805863164
알라 프리마,37.5184332107,127.0301073359
애류헌,37.5254488796,127.0455453421
역전회관,37.5429360044,126.9470165651
오가네 족발,37.4850989967,127.0435941719
오근내 닭갈비,37.5245245617,126.9597178703
오스테리아 꼬또,37.5252512905,127.0327708397
오장동 함흥냉면,37.5642727097,126.9998822858
오통영,37.525432579,127.0408437328
온달,37.5586300824,127.1117068379
외고집 설렁탕,37.4980982828,127.0534583681
용금옥,37.5797734481,126.9709049868
용수산,37.5794341581,126.9891590434
우가,37.5243669447,127.0373633842
우래옥,37.5682190652,126.9987141312
우오,37.5238518682,127.0364128722
우참판,37.4982400791,126.9967747597
유 유안,37.5706996528,126.9754001512
이문 설농탕,37.5727625947,126.9838984952
이십사절기,37.5219252233,127.0311675675
이치류,37.5506471935,126.9191722513
이태리재,37.5787989413,126.9817235885
임병주 산동 칼국수,37.4845734368,127.0300032902
자하 손만두,37.5931392827,126.9660535225
정식당,37.5256595499,127.0410791635
정인면옥,37.5306574201,126.9215561041
제로 컴플렉스,37.4940232934,126.9947123507
주옥,37.522562662,127.0439779561
줄라이,37.4947298012,126.9999773837
지화자,37.587089133,126.9693985614
진미식당,37.5506089221,126.9558018715
진진,37.5578113492,126.9132793145
찬양집,37.5727921243,126.9902784183
채근담,37.503408402,127.0650521036
충무로 쭈꾸미 불고기,37.5617604742,126.9922039613
카덴,37.5724971568,126.9350599128
코로비아,37.5338946343,127.0011947667
코지마,37.5258754802,127.0419616854
콘티넨탈,37.5575907792,127.0057131548
크리스탈 제이드,37.5641666919,126.9811657585
큰기와집,37.5799377843,126.9816372702
키오쿠,37.5706996528,126.9754001512
태번 38,37.4861665308,127.0047217517
테이블 34,37.5091915107,127.0608089556
테이블 포 포,37.4977354288,126.9944406821
톡톡,37.5253254452,127.0378842503
툭툭 누들 타이,37.5651925219,126.9240462631
파씨오네,37.5254591523,127.0367485124
팔레 드 고몽,37.5257977891,127.0472741583
평양면옥,37.5633607141,127.0066507699
품,37.5492501073,126.9833558407
플라워 차일드,37.4937276533,126.9926588358
피양콩 할마니,37.5041089739,127.0552405196
피에르 가니에르,37.5653451695,126.9810069981
필경재,37.4848884925,127.0951886995
필동면옥,37.5603947824,126.9970029713
하모,37.5233555729,127.0328016855
하코네,37.5091915107,127.0608089556
한6감,37.5709602436,126.9814402482
한일관,37.5277813802,127.0324959055
할매집,37.5756722533,126.9714409052
홍보각,37.5601497268,127.0023043544
홍연,37.5644836818,126.9801832153
화해당,37.5296050484,126.9215526808
황생가 칼국수,37.5800781846,126.9806681528
